,precision,recall,f1-score,support
1,0.9875,0.9875,0.9875,80.0
2,0.8888888888888888,1.0,0.9411764705882353,80.0
3,0.9625,0.9625,0.9625000000000001,80.0
4,0.9466666666666667,0.8875,0.9161290322580645,80.0
5,1.0,1.0,1.0,80.0
6,0.9506172839506173,0.9625,0.9565217391304348,80.0
7,0.9518072289156626,0.9875,0.9693251533742331,80.0
8,0.9508196721311475,0.725,0.822695035460993,80.0
9,0.975609756097561,1.0,0.9876543209876543,80.0
micro avg,0.9564606741573034,0.9458333333333333,0.9511173184357542,720.0
macro avg,0.9571566107389494,0.9458333333333333,0.9492779724221795,720.0
weighted avg,0.9571566107389493,0.9458333333333333,0.9492779724221795,720.0
