,precision,recall,f1-score,support
1,1.0,1.0,1.0,80.0
2,0.9080459770114943,0.9875,0.9461077844311377,80.0
3,0.9875,0.9875,0.9875,80.0
4,0.9863013698630136,0.9,0.9411764705882354,80.0
5,0.9875,0.9875,0.9875,80.0
6,0.9285714285714286,0.975,0.951219512195122,80.0
7,0.8144329896907216,0.9875,0.8926553672316384,80.0
8,0.9591836734693877,0.5875,0.7286821705426357,80.0
9,1.0,1.0,1.0,80.0
micro avg,0.9478873239436619,0.9347222222222222,0.9412587412587413,720.0
macro avg,0.9523928265117829,0.9347222222222222,0.9372045894431965,720.0
weighted avg,0.9523928265117828,0.9347222222222222,0.9372045894431966,720.0
